TIPE,ITEM
ASIAN PRODUCT,AROYD COCONUT MILK X 1 LT
ASIAN PRODUCT,BULL HEAD SHALLOT SAUCE X 175 GR
ASIAN PRODUCT,CHAOKOH COCONUT MILK X 400 ML NARANJA
ASIAN PRODUCT,DOLEE NASI LEMAK SAMBAL X 240 GR
ASIAN PRODUCT,MAESRI NAM PLA WAN X 225GR
ASIAN PRODUCT,TAPIOCA PEARL SMALL X 400GR
ASIAN PRODUCT,TAPIOCA STARCH 400 GR
ASIAN PRODUCT,THREE DEER BRANDS TAPIOCA PEARL X 400 GR (BIG)
ASIAN PRODUCT,TIPAROS FISH SAUCE UND
ASIAN PRODUCT,VEGAN FISH SAUCE X 200 ML UND
BAR,HIBISCUS X 65 GR GREENFIELD
BAR,PAPER STRAWS  BLACK X 250 UNIT
BAR,SEA DYKE GREEN TEA 2GR X 100 BAGS
BAR,YAMAMOTOYAMA GENMAI CAH LOOSE TEA X 150G
CHEESE,GRANA PADANO CHEESE X KG
CHEESE,MANCHEGO CHEESE X 500GR
CHEESE,PHILADELPHIA CHEESE X 280 GR
CHEESE,PHILADELPHIA CHEESE X 500 GR
CHINESE PRODUCT,DUCK PASTRY PANCAKE X 10 PCS
CHINESE PRODUCT,LKK CHILI GARLIC SAUCE X 368 G UND
CHINESE PRODUCT,LKK HOISIN SAUCE X 397 GR
CHINESE PRODUCT,LKK OYSTER SAUCE PANDA X 907 ML
CHINESE PRODUCT,LKK PURE SESAME OIL X 410 ML
CHINESE PRODUCT,LKK SATAY SAUCE X 340 GR
CHINESE PRODUCT,LKK SESAME OIL BLENDED WIT SOY BEAN 207 ML
CHINESE PRODUCT,VERMICELLI X 500 GR LONGKOU UND
CLEANING SUPPLIES,BAYLIS HARDING HAND WASH 500 ML 
CLEANING SUPPLIES,BLACK COMP SACK 18X33X46 18KG X100
CLEANING SUPPLIES,CONTRACT MICROFIBRE CLOTH BLUE X 10
CLEANING SUPPLIES,GLADE AEROSOL
CLEANING SUPPLIES,GLADE PLUG IN AIR FRESHENER
CLEANING SUPPLIES,GLASS CLOTH LINEN GREEN/BLUE BORDER
CLEANING SUPPLIES,"JANTEX BLEACHED DISH CLOTH 16""X10"""
CLEANING SUPPLIES,JANTEX MICROFIBRE CLOTH PINK X 5
CLEANING SUPPLIES,JANTEX MICROFIBRE CLOTH YELLOW X 5
CLEANING SUPPLIES,JANTEX NO WOVEN CLEANING CLOTH 25X33X200
CLEANING SUPPLIES,JANTEX NO WOVEN CLOTH GREEN X 50
CLEANING SUPPLIES,JANTEX NO WOVEN CLOTH RED X 50
CLEANING SUPPLIES,M&A AUTORINSE dish-glass rinse X 5LT
CLEANING SUPPLIES,M&A BACTERICIDAL HARD SURFACE CLEANER X 750ML
CLEANING SUPPLIES,M&A BLEACH X 5LT
CLEANING SUPPLIES,M&A CONCENTRATE WASHING UP LIQUID
